Region,Expected Reports,Received Reports,Compliance (%),Week,Year,Source link,Source title,datetime_loaded
KP,2234,1791,80,11,2026,https://www.nih.org.pk/wp-content/uploads/2026/04/IDSRS Weekly Report 11-2026.pdf,IDSRS Week 11 Bulletin (2026),2026-08-08T00:40:51Z
AJK,469,397,85,11,2026,https://www.nih.org.pk/wp-content/uploads/2026/04/IDSRS Weekly Report 11-2026.pdf,IDSRS Week 11 Bulletin (2026),2026-08-08T00:40:51Z
ICT,38,29,76,11,2026,https://www.nih.org.pk/wp-content/uploads/2026/04/IDSRS Weekly Report 11-2026.pdf,IDSRS Week 11 Bulletin (2026),2026-08-08T00:40:51Z
Balochistan,1308,565,43,11,2026,https://www.nih.org.pk/wp-content/uploads/2026/04/IDSRS Weekly Report 11-2026.pdf,IDSRS Week 11 Bulletin (2026),2026-08-08T00:40:51Z
GB,417,369,88,11,2026,https://www.nih.org.pk/wp-content/uploads/2026/04/IDSRS Weekly Report 11-2026.pdf,IDSRS Week 11 Bulletin (2026),2026-08-08T00:40:51Z
Sindh,2111,2078,98,11,2026,https://www.nih.org.pk/wp-content/uploads/2026/04/IDSRS Weekly Report 11-2026.pdf,IDSRS Week 11 Bulletin (2026),2026-08-08T00:40:51Z
National,6577,5229,80,11,2026,https://www.nih.org.pk/wp-content/uploads/2026/04/IDSRS Weekly Report 11-2026.pdf,IDSRS Week 11 Bulletin (2026),2026-08-08T00:40:51Z
KP,2234,1775,79,10,2026,https://www.nih.org.pk/wp-content/uploads/2026/03/IDSRS Weekly Report-10-2026.pdf,IDSRS Week 10 Bulletin (2026),2026-08-08T00:40:54Z
AJK,469,429,91,10,2026,https://www.nih.org.pk/wp-content/uploads/2026/03/IDSRS Weekly Report-10-2026.pdf,IDSRS Week 10 Bulletin (2026),2026-08-08T00:40:54Z
ICT,38,30,79,10,2026,https://www.nih.org.pk/wp-content/uploads/2026/03/IDSRS Weekly Report-10-2026.pdf,IDSRS Week 10 Bulletin (2026),2026-08-08T00:40:54Z
Balochistan,1308,605,46,10,2026,https://www.nih.org.pk/wp-content/uploads/2026/03/IDSRS Weekly Report-10-2026.pdf,IDSRS Week 10 Bulletin (2026),2026-08-08T00:40:54Z
GB,417,335,80,10,2026,https://www.nih.org.pk/wp-content/uploads/2026/03/IDSRS Weekly Report-10-2026.pdf,IDSRS Week 10 Bulletin (2026),2026-08-08T00:40:54Z
Sindh,2111,2076,98,10,2026,https://www.nih.org.pk/wp-content/uploads/2026/03/IDSRS Weekly Report-10-2026.pdf,IDSRS Week 10 Bulletin (2026),2026-08-08T00:40:54Z
National,6577,5277,80,10,2026,https://www.nih.org.pk/wp-content/uploads/2026/03/IDSRS Weekly Report-10-2026.pdf,IDSRS Week 10 Bulletin (2026),2026-08-08T00:40:54Z
KP,2234,1759,79,9,2026,https://www.nih.org.pk/wp-content/uploads/2026/03/IDSRS Weekly Report-09-2026.pdf,IDSRS Week 09 Bulletin (2026),2026-08-08T00:40:57Z
